patch	status	files_total	files_missing	hunks	hunks_failed	detail
upstream-fixes/missing-dependencies.patch	CLEAN	8	0	8	0	
core/inox-patchset/0001-fix-building-without-safebrowsing.patch	CLEAN	14	0	24	0	
core/inox-patchset/0003-disable-autofill-download-manager.patch	CLEAN	1	0	1	0	
core/inox-patchset/0005-disable-default-extensions.patch	CLEAN	4	0	5	0	
core/inox-patchset/0015-disable-update-pings.patch	CLEAN	1	0	1	0	
core/inox-patchset/0021-disable-rlz.patch	CLEAN	2	0	2	0	
core/iridium-browser/safe_browsing-disable-incident-reporting.patch	CLEAN	5	0	5	0	
core/iridium-browser/safe_browsing-disable-reporting-of-safebrowsing-over.patch	CLEAN	1	0	2	0	
core/iridium-browser/all-add-trk-prefixes-to-possibly-evil-connections.patch	CLEAN	33	0	33	0	
core/ungoogled-chromium/disable-crash-reporter.patch	CLEAN	3	0	4	0	
core/ungoogled-chromium/disable-google-host-detection.patch	CLEAN	8	0	17	0	
core/ungoogled-chromium/replace-google-search-engine-with-nosearch.patch	NO_TARGET	1	1	1	0	can't find file to patch at input line 3;
core/ungoogled-chromium/toggle-translation-via-switch.patch	CLEAN	5	0	9	0	
core/ungoogled-chromium/disable-untraceable-urls.patch	CLEAN	3	0	3	0	
core/ungoogled-chromium/disable-profile-avatar-downloading.patch	CLEAN	1	0	1	0	
core/ungoogled-chromium/disable-gcm.patch	CLEAN	1	0	7	0	
core/ungoogled-chromium/disable-domain-reliability.patch	CLEAN	5	0	7	0	
core/ungoogled-chromium/block-trk-and-subdomains.patch	CLEAN	13	2	17	0	
core/ungoogled-chromium/disable-gaia.patch	CLEAN	1	0	1	0	
core/ungoogled-chromium/disable-fonts-googleapis-references.patch	CLEAN	5	0	7	0	
core/ungoogled-chromium/disable-webstore-urls.patch	CLEAN	6	0	13	0	
core/ungoogled-chromium/fix-learn-doubleclick-hsts.patch	CLEAN	1	0	1	0	
core/ungoogled-chromium/disable-webrtc-log-uploader.patch	CLEAN	2	0	4	0	
core/ungoogled-chromium/fix-building-with-prunned-binaries.patch	CONFLICT	61	4	108	0	can't find file to patch at input line 1315;can't find file to patch at input line 1325;
core/ungoogled-chromium/disable-network-time-tracker.patch	CLEAN	1	0	1	0	
